run,mse,settling_us,power_mw,c_mismatch_pct
31,5.441508070040714e-06,6.119748306060955,0.8346973465488253,3.2407890102582604
32,5.587179238260354e-06,6.293503201326394,0.7514921931511334,2.510133685773006
33,5.927224518886472e-06,6.328412559677003,0.7646591522305378,5.78837604403671
34,5.286090955682532e-06,6.151881233099356,0.9035243656675302,3.076449070791083
35,5.613981394942432e-06,6.157066757839211,0.9302942581285927,5.706361167174614
36,6.536411917903115e-06,6.17087840548481,0.7906028858124668,4.968459343479649
37,6.19729409778111e-06,6.37013212278416,0.6073630386088359,1.881552035051994
38,5.693582748775342e-06,6.1688593301616175,0.8199991223169478,4.073984493685758
39,6.774823501410822e-06,5.930932547804353,0.8694835783465221,6.8414541521222585
40,6.437225227300414e-06,6.190398954408681,0.8301728297642145,2.30911463681434
41,6.759114477160014e-06,6.12558170639608,0.6856142542662105,2.1291011854670416
42,6.175008380737238e-06,6.070521089928097,0.8128906522008803,4.324603734643895
43,6.030487290063096e-06,6.034236154172336,0.7625422408522624,3.8110281222247426
44,6.2747229844199816e-06,6.320308661898658,0.9456049863140769,2.603102018114838
45,6.6932859712583e-06,6.202651100180637,0.7556692125975809,2.7288527484485203
46,6.157676032249916e-06,5.966989318840138,0.7957040014296172,2.9047505101746918
47,6.727807832662007e-06,5.861766141761364,0.803900610578251,8.09038933847238
48,7.232163701768943e-06,6.16049874463203,0.8267928619059031,4.537187601759374
49,6.552686921085902e-06,6.40673159174536,0.7563740453927243,3.4738136471061205
50,5.646315646802335e-06,6.054429426078926,0.7459179108851344,3.637458082908749
51,5.763100819350398e-06,6.04266154015891,0.8215259519128275,2.9653643389662965
52,6.543295275556307e-06,5.967928541700804,0.7857772211064135,4.670409810713001
53,5.67210279566831e-06,6.05400963371012,0.9092807125979361,3.5047750382724523
54,6.713770390775355e-06,6.161244977357492,0.7826084232503001,4.336006540912818
55,5.593636761745388e-06,5.976499177679806,0.7371060593674897,5.357420764734037
56,6.309962434703226e-06,6.384184786932168,0.8132501994440836,4.872221500822698
57,7.050090337829751e-06,5.955530344680903,0.8238997121194735,3.9797135088177322
58,6.192947539344138e-06,6.131208569484931,0.6314142072301958,1.9972051692184765
59,6.432624765344057e-06,5.929445575639968,0.7520562205381617,2.0375047800278923
60,6.404344976834466e-06,6.029449549013112,0.7750464688357646,2.78445761730296
61,5.893034949439225e-06,5.949764675236258,0.9294580047594424,3.914733522383087
62,6.247973647496659e-06,6.066992107223859,0.7371036014414417,3.2443595846379547
63,5.718059787089074e-06,6.192706581549403,0.8027006444192821,5.307943144363632
64,6.101839172792552e-06,6.159475413141168,0.757509022239838,3.8626900024561777
65,5.559036266168632e-06,6.215541109474858,0.8306740214311318,5.441591906183872
66,5.647423849393778e-06,6.228138337590791,0.7322318573017695,3.3942792077001993
67,5.612339242530294e-06,6.354142112475411,0.9466183107012057,5.726091080603958
68,6.7190065203335195e-06,6.118116946404687,0.7893848346373464,4.334630592010165
69,6.1661111875260025e-06,5.949194440259572,0.7477323447462024,3.745301802115042
70,5.046876435737135e-06,6.121153882518452,0.7917515471743358,3.649489525702683
71,5.60712269929336e-06,6.041982120959858,0.7106886322171181,3.053313985520898
72,6.265386300681879e-06,5.915660214310764,0.8626217542670244,1.57924151155574
73,5.674883113040822e-06,6.0068242449094935,0.7396500562506771,4.27036844769201
74,6.193714104325045e-06,6.157803649962,0.7858621065947802,2.1878599647880415
75,5.691464996476931e-06,6.058242099642542,0.926982177461223,2.659064289816182
76,6.264428892284004e-06,6.028211515576198,0.8501556885686992,3.896822611489248
77,6.2528259018676196e-06,6.279678033769332,0.8759447331774638,4.844365051053772
